 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
2084,75045880390,,,cople para bomba hidráulica a2f013,,,1033393,,Schwing,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2086,,,,Coupling / Acoplamiento,,,SOM30197,10004025,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2087,,,,Coupling 17.5X50X48 / Acoplamiento 17.5X50X48,,,SOM30225,10033393,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2088,,,,Coupling 22.5X50X48 / Acoplamiento 22.5X50X48,,,SOM30226,10033394,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2090,,,,Coupling 36X50X50 / Acoplamiento 36X50X50,,,SOM30228,10035157,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2092,,,,Cover Lining / Revestimiento de Cubierta,,,SOM30029,10018029,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2093,,,,Cover with Screw / Cubierta con Tornillo,,,SOM30055,10018073,Schwing,BARRA V-ROCK,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2097,,,,Cutting Ring DN 165 / Anillo de Corte DN 165,,,SOM30007,10063938,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2098,,,,Cutting Ring DN 180 / Anillo de Corte DN 180,,,10140388,,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2100,,,,Cutting Ring DN 220 / Anillo de Corte DN 220,,,SOM30010,10181040,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2101,,,,Cutting Ring DN 230 / Anillo de Corte DN 230,,,SOM30011,10181039,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2102,,,,CYL Weld 1200-2020-2023 / Soldadura de Cilindro 1200-2020-2023,,,SOM30118,10031419,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2103,,,,CYL Weld 2023 120X2000 / Soldadura de Cilindro 2023 120X2000,,,SOM30117,10164039 / 10031493,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2104,,,,CYL Weld 2023 130X2000 / Soldadura de Cilindro 2023 130X2000,,,SOM30119,10023480,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2105,,,,CYL Weld 2525 120X2500 / Soldadura de Cilindro 2525 120X2500,,,SOM30120,10164039,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2107,,,,Cylinder Block / Bloque de Cilindros,,,SOM30116,10023297,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2112,,,,Delivery Cylinder DN 180 X 1518 / Cilindro de Entrega DN 180 X 1518,,,SOM30076,10009770,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2114,,,,Delivery Cylinder DN 200 X 2125 / Cilindro de Entrega DN 200 X 2125,,,SOM30077,10025660,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2115,,,,Delivery Cylinder DN 230 X 2000 / Cilindro de Entrega DN 230 X 2000,,,SOM30082,10077052,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2116,,,,Delivery Cylinder DN 230 X 2133 / Cilindro de Entrega DN 230 X 2133,,,SOM30079,10019377 / 10202132,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2117,,,,Delivery Cylinder DN 250 X 2500 / Cilindro de Entrega DN 250 X 2500,,,SOM30080,10202132,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2118,,,,Delivery Cylinder DN 250 X 2500 / Cilindro de Entrega DN 250 X 2500,,,SOM30083,10163541,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2120,,,,Delivery Tube DN 150 1600 MM / Tubo de Entrega DN 150 1600 MM,,,SOM30260,10116091,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2121,,,,Differential Cylinder 110/63 / Cilindro Diferencial 110/63,,,SOM30115,10023261,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2122,,,,Differential Cylinder 1200-2023 125/80 / Cilindro Diferencial 1200-2023 125/80,,,SOM30112,10031423,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,306,$0.00,#DIV/0!,,"$4,400",,
2123,,,,Differential Cylinder 2023 120/80X2000 / Cilindro Diferencial 2023 120/80X2000,,,SOM30111,10031492,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2124,,,,Differential Cylinder 2023 130/80X2000 / Cilindro Diferencial 2023 130/80X2000,,,SOM30113,10023479,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2125,,,,Differential Cylinder 2525 120/85X2500 / Cilindro Diferencial 2525 120/85X2500,,,SOM30114,10164038,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2130,,,,"Elbow 20 Degree 5,5"" / Codo 20 Grados 5,5""",,,SOM30267,10002894,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2132,75045892132,,"ELBOW 32,5 DEGREE 6"" R=230 ZL GREEN","CODO 32.5 GRADOS 6"" R=230 ZL VERDE",,,SOM30273,10215835,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2134,,,,"Elbow 45 Degree 6"" / Codo 45 Grados 6""",,,SOM30271,10116496,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2135,,,,"Elbow 50 Degree 6"" R=230 / Codo 50 Grados 6"" R=230",,,SOM30272,10103894,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2136,,,,"Elbow 90 Degree 5,5"" R=275 / Codo 90 Grados 5,5"" R=275",,,SOM30270,10010479,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2138,,,,"Elbow 90 Degree with 14cm Extension 5,5"" / Codo 90 Grados con Extensión de 14cm 5,5""",,,SOM30352,,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2148,,,,"End Hose 4 MT Double Flange 5,5"" / Manguera Final 4 MT Doble Brida 5,5""",,,SOM30301,10006573,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2149,,,,"End Hose 4 MT Single Flange 5,5"" / Manguera Final 4 MT Brida Simple 5,5""",,,SOM30300,10095720,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2151,,,,Extension 200 MM / Extensión 200 MM,,,SOM30204,10007497,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2155,,,,Filter Element / Elemento de Filtro,,,SOM30288,10072797,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2165,,,,Flange Coupling / Acoplamiento de Brida,,,SOM30098,10011849,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2166,,,,Flanged Bearing Closed / Cojinete con Brida Cerrado,,,SOM30176,10017747,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2167,,,,Flanged Bearing Open / Cojinete con Brida Abierto,,,SOM30177,10004182,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2169,,,,Flanged Shaft (Gear Side) / Eje con Brida (Lado del Engranaje),,,SOM30179,10004173,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2173,,,,Guide Bushing / Casquillo Guía,,,SOM30137,10004874,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2175,,,,Guide Bushing 1200-2023 / Casquillo Guía 1200-2023,,,SOM30135,10165544,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2176,,,,Guide Bushing 2023 120/80 / Casquillo Guía 2023 120/80,,,SOM30136,10202071,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2182,,,,Housing Ling DN135 Outlet Side / Alojamiento Ling DN135 Lado de Salida,,,SOM30027,10025851,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2187,,,,Hydraulic Piston / Pistón Hidráulico,,,SOM30126,10003722,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2190,,,,Hydraulic Piston 130/80 / Pistón Hidráulico 130/80,,,SOM30129,10015414,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2191,,,,Hydraulic Pump A7VO107LH / Bomba Hidráulica A7VO107LH,,,SOM30312,10155096,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2192,,,,Hydraulic Pump A7VO80RLH1/63LH / Bomba Hidráulica A7VO80RLH1/63LH,,,SOM30311,10155094,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2196,,,,Locking Cap DN 250 / Tapa de Bloqueo DN 250,,,SOM30047,10060782,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2203,,,,Piston Bolt / Perno de Pistón,,,SOM30192,10001069,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2204,,,,Piston Bushing / Casquillo de Pistón,,,SOM30190,10001081,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2207,,,,Piston Disc / Disco de Pistón,,,SOM30196,10001075,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2209,,,,Piston Ram DN 180 New Type / Ariete de Pistón DN 180 Nuevo Tipo,,,SOM30101,10061781,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2210,,,,Piston Ram DN 200 / Ariete de Pistón DN 200,,,SOM30105,10043826,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2213,,,,Piston Ring / Anillo de Pistón,,,SOM30130,10007990,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2214,,,,Piston Ring 1203 / Anillo de Pistón 1203,,,SOM30132,10007052,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2217,,,,Piston Rod 2525 85x2792 / Vástago de Pistón 2525 85x2792,,,SOM30123,10164040,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2218,,,,Piston Rod 75x2292/16-50 / Vástago de Pistón 75x2292/16-50,,,SOM30125,10176360,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2220,,,,Plunger Housing / Alojamiento del Émbolo,,,SOM30186,10001231,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2221,,,,Plunger Housing / Alojamiento del Émbolo,,,SOM30187,10012975,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2228,,,,Reduction Piece DN250/220 / Pieza de Reducción DN250/220,,,SOM30019,10181242,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2229,,,,Repair Kit for Hyproo Water Pump / Kit de Reparación para Bomba de Agua Hyproo,,,SOM30215,3430-511P,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2232,,,,Rock DN 210/180 - Extrta Welded / Rock DN 210/180 - Extra Soldado,,,SOM30036,10059467,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2234,,,,Rock Paddle / Paleta de Roca,,,SOM30159,10167219,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2238,,,,Roller Water Pump / Bomba de Agua de Rodillos,,,SOM30214,10012942 / 10164399,Schwing,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2239,,,,Round Steel Stirrup / Estribo de Acero Redondo,,,SOM30282,10010238,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2241,,,,"Seal 6"" / Sello de 6""",,,SOM30245,10006403,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2242,,,,Seal Kidney DN 150 / Sello Riñón DN 150,,,SOM30042,10140380,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2244,,,,Seal Set for Slewing Cylinder / Juego de Sellos para Cilindro de Giro,,,SOM30075,10064750,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2245,,,,"Sealing 5,5"" / Sellado 5,5""",,,SOM30277,10002526,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2247,,,,Sealing Cone / Cono de Sellado,,,SOM30168,10004928,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2249,,,,Sealing Ring / Anillo de Sellado,,,SOM30194,10001102,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2255,,,,Setting Disc / Disco de Ajuste,,,SOM30030,10017396,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2260,,,,Slewing Lever DN 210/180 / Palanca de Giro DN 210/180,,,SOM30046,10018071,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2263,,,,Slewing Shaft / Eje de Giro,,,SOM30038,10180090,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2266,,,,Spacing Ring / Anillo Espaciador,,,SOM30195,10001097,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2272,,,,Support Bushing / Casquillo de Soporte,,,SOM30026,10025626,Schwing,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2280,,,,Tapered Tube DN 150-125 3000 MM / Tubo Cónico DN 150-125 3000 MM,,,SOM30264,10008470,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2281,,,,Tapered Tube DN 180-150 1500MM / Tubo Cónico DN 180-150 1500MM,,,SOM30257,10201401,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2285,,,,Tension Ring / Anillo de Tensión,,,SOM30143,10004877,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2286,,,,Tension Ring 120/85 / Anillo de Tensión 120/85,,,SOM30145,10205704,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2287,,,,Tension Ring 1200-2023 / Anillo de Tensión 1200-2023,,,SOM30142,10017497,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2288,,,,Tension Ring 2525 120/85 / Anillo de Tensión 2525 120/85,,,SOM30144,10164043,Schwing,Sellos y Retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2300,,,,Wearing Insert DN 180 / Inserto de Desgaste DN 180,,,SOM30003,10129807,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2301,,,,Wearing Insert DN 200 / Inserto de Desgaste DN 200,,,SOM30004,10074707,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2302,,,,Wearing Insert DN 230 / Inserto de Desgaste DN 230,,,SOM30005,10074708,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2303,,,,Wearing Insert DN 250 / Inserto de Desgaste DN 250,,,SOM30006,10138580,Schwing,Sistema de Bombeo de Concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2329,75045880269,,,Aerador para silo de cemento,,,U0252,,WAM,Componentes para silos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2341,75045880417,,,Electroválvula,,,P26007,,WAM,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2342,75045880418,,,Horquilla de cilindro automático - avanzado,,,PACY-3.5X8C,,WAM,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2349,75045880499,,,vibrador eléctrico tipo houston,,,VIB-46,,WAM,Componentes eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2353,75045880500,,,"Viradores eléctricos 220V, 1Ph, 3000 RPM",,,MVE 60/3M DE FC: 66KG,,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2356,,,,ANILLO DE DESGASTE DN PARA BOMBA DE HORMIGON,,,,,,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2357,,,,ANILLO DE DESGASTE DN PARA BOMBA DE HORMIGON,,,,,,,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2358,,,,"Axiel Fan for Oil Cooler 10"" / Ventilador Axial para Enfriador de Aceite 10""",,,MIX10101,,,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2359,,,,"Axiel Fan for Oil Cooler 11"" / Ventilador Axial para Enfriador de Aceite 11""",,,MIX10102,,,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2360,,,,"Axiel Fan for Oil Cooler 12"" / Ventilador Axial para Enfriador de Aceite 12""",,,MIX10103,,,Componentes Hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2361,,,,Balance Ball / Bola de Equilibrio,,,MIX10154,,,Componentes de Transmisión,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2362,,,,Bearing 6305 / Rodamiento 6305,,,MIX10011,,,Transmisión Mecánica,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2363,,,,Cable 10 MT. / Cable 10 MT.,,,MIX10043,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2364,,,,"Cable 10,5 MT. / Cable 10,5 MT.",,,MIX10044,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2365,,,,Cable 11 MT. / Cable 11 MT.,,,MIX10045,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2366,,,,"Cable 11,5 MT. / Cable 11,5 MT.",,,MIX10046,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2367,,,,Cable 12 MT. / Cable 12 MT.,,,MIX10047,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,228,,,,,,
2368,,,,Cable 4 MT. / Cable 4 MT.,,,MIX10031,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
2369,,,,"Cable 4,5 MT. / Cable 4,5 MT.",,,MIX10032,,,Componentes Eléctricos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
